Trait,ANumber,Sequence
Triangle,A048994,[1 0 1 0 1 1 0 2 3 1 ]
Reverse,A054654,[1 1 0 1 1 0 1 3 2 0 ]
Inverse,A048993,[1 0 1 0 -1 1 0 1 -3 1 ]
RevInv,A106800,[1 1 0 1 -1 0 1 -3 1 0 ]
DiagTri,A331327,[1 0 0 1 0 1 0 2 1 0 ]
PolyTri,nothing,[1 0 1 0 1 1 0 2 2 1 ]
Sum,A000142,[1 1 2 6 24 120 720 5040 40320 362880 ]
EvenSum,A105752,[1 0 1 3 12 60 360 2520 20160 181440 ]
OddSum,A001710,[0 1 1 3 12 60 360 2520 20160 181440 ]
AltSum,A014028,[1 -1 0 0 0 0 0 0 0 0 ]
DiagSum,nothing,[1 0 1 1 3 9 36 176 1030 7039 ]
Middle,A154415,[1 0 1 2 11 50 225 1624 6769 67284 ]
Central,A187646,[1 1 11 225 6769 269325 13339535 790943153 54631129553 4308105301929 ]
LeftSide,A000007,[1 0 0 0 0 0 0 0 0 0 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A001147,[1 1 3 15 105 945 10395 135135 2027025 34459425 ]
NegHalf,A330797,[1 1 -1 3 -15 105 -945 10395 -135135 2027025 ]
PolyVal2,A000142,[1 2 6 24 120 720 5040 40320 362880 3628800 ]
PolyVal3,nothing,[1 3 12 60 360 2520 20160 181440 1814400 19958400 ]
BinConv,A211210,[1 1 3 16 115 1021 10696 128472 1734447 25937683 ]
IBinConv,A317274,[1 1 -1 -2 19 -79 76 2640 -36945 329371 ]
TransSqrs,A151881,[0 1 5 23 120 724 5012 39332 345832 3371976 ]
TransNat0,A000254,[0 1 3 11 50 274 1764 13068 109584 1026576 ]
TransNat1,A000774,[1 2 5 17 74 394 2484 18108 149904 1389456 ]
